Instance,Algorithm: BRKGA (avg ± std / best),Algorithm: BRKGA_CS (avg ± std / best),Algorithm: BRKGA (baseline gap %),Algorithm: BRKGA_CS (baseline gap %)
nrp-e1.txt,-673.100 ± 45.160 / -778.000,-659.300 ± 333.951 / -1350.000,91.50,91.67
nrp-e2.txt,-344.400 ± 35.287 / -409.000,-199.400 ± 108.764 / -499.000,95.37,97.32
nrp-e3.txt,-689.500 ± 65.825 / -794.000,-508.000 ± 158.919 / -930.000,89.66,92.38
nrp-e4.txt,-263.200 ± 33.813 / -320.000,-191.500 ± 77.010 / -359.000,95.47,96.71
nrp-g1.txt,-758.300 ± 45.724 / -839.000,-646.300 ± 314.872 / -1436.000,87.63,89.46
nrp-g2.txt,-281.500 ± 34.004 / -337.000,-143.800 ± 28.335 / -187.000,93.85,96.86
nrp-g3.txt,-755.400 ± 54.060 / -822.000,-535.300 ± 61.866 / -609.000,87.27,90.98
nrp1.txt,-1129.500 ± 37.008 / -1162.000,-1024.500 ± 40.596 / -1091.000,6.19,14.91
nrp2.txt,-3770.800 ± 206.779 / -4051.000,-2963.200 ± 611.606 / -4064.000,24.13,40.38
nrp3.txt,-3466.900 ± 117.085 / -3746.000,-3468.100 ± 662.232 / -4680.000,53.70,53.68
nrp4.txt,-3601.200 ± 112.158 / -3811.000,-3469.100 ± 102.005 / -3603.000,66.31,67.55
nrp5.txt,-15297.000 ± 1371.605 / -16578.000,-14746.900 ± 1821.767 / -17198.000,17.36,20.33
